company,job,summary
Change Healthcare,DATA SCIENTIST, The Data Science group was formed to dramatically increase leverage of Change Healthcare’s data assets to create material new revenue opportunities....
"Williams-Sonoma, Inc.",Sr. Data Scientist, You will work with IT to trouble shoot data issues and test marketing data impacts of IT systems changes....
DuPont,Remote Sensing Data Scientist (PhD)," PhD or similar qualification in a quantitative data science discipline. Corteva Agriscience™, Agriculture Division of DowDuPont™ is seeking a Remote Sensing..."
Tubi TV,Data Scientist," SQL, Python, Data Mining, Data Visualization, Statistical Analysis. We are looking for an experienced Data Scientist to help improve data quality, build data..."
Optimizely,"Software Engineer, Data Services"," The role will work closely with other engineering teams, product managers, data analysts and data scientists. Data Services team is the backbone of Optimizely,..."
Scoop Technologies,Data Engineer," Architect, develop, and deploy infrastructure on which data moves. We’re touching problems academics have written about for years, and have data that no other..."
Square,"Data Scientist, Operations"," An advanced degree (M.S., PhD.), preferably in Statistics, Computer Science, Physical Sciences, Economics, or a related technical field...."
Kaplan,Part-time instructor of Statistics for Data Science and Machine Learning, The Instructor I is responsible for teaching classes within the guidelines of the established curriculum. They are also responsible for several administrative...
Counsyl,"Computational Biologist, Data Science Research"," Perform “big data” analyses on a tremendous and ever-growing trove of genomic data. PhD (or equivalent experience) in Computational Biology, Biophysics, Physics..."
Barrick Gold Corporation,Data Scientist," As a Senior Staff Data Analytics Scientist, you will be part of a data science or cross-disciplinary team on commercially-facing development projects, typically..."
Zeus Living,Pricing Analyst," You will work closely with both data science and supply team on new deals pricing. You are intellectually curious, data driven and detail oriented...."
HotSchedules,Data Engineer, Strong algorithm &amp; data structure knowledge. Experience building data pipelines from disparate sources. Provide architectural guidance on integrating with...
Cobalt Robotics,Data Scientist," 1+ years of industry experience working on machine learning or data science. Experience with 3D data, i.e. LIDAR, laser scanners, or depth cameras...."
Snowflake Computing,Data Scientist," Snowflake Computing, the cloud data warehousing company, has reinvented the data warehouse for the cloud and today’s data. As a Data Scientist, you will:...."
DuPont,Data Warehouse Engineer, We are seeking a proven Data Warehouse Engineer to unleash the value of data in ways that create value for our Research partners within the Data Science &amp;...
GoodData Corporation,Data Engineer," You will implement data warehouse data models and dimensional data models, deliver ETL in SQL, and write multidimensional queries in MAQL...."
CBRE,Research Analyst, Ability to handle and manipulate large amounts of data. Reviews and evaluates data results collected by themselves and others within the research team to ensure...
Yelp,Business Intelligence - Data Engineer," You might be a great fit for this role if you are adept at data warehousing concepts including data profiling and analysis, data extraction and transformation,..."
Sun Basket,Data Engineer," Bachelor's degree in a highly quantitative field including data science, computer science, math, engineering, statistics, economics, and hard sciences...."
Ahrefs,Data Scientist (Big Data Analytics)," The subject of the email should be ""Data Science"". Experience with Elasticsearch or similar DB, and ability to conduct independent research utilising large..."
Uber,Data Scientist - Research & Economics, 1+ years of quantitative research or data science experience. The ability to organize and synthesize analyses and communicate data insights with clarity....
SigOpt,Machine Learning Evangelist," Built by data scientists for data scientists, SigOpt’s Optimization Platform is fundamentally changing the way models are tuned...."
Burstorm,Data Management & Integration Engineer, Data Management &amp; Integration Engineer. Create the infrastructure and develop features for our cloud services data integration platform....
Jobspring Partners,Data Scientist, 2-4 years of Data Science experience. 20% data engineering development. A growing healthcare start-up located in Downtown San Francisco is looking to add a Data...
Amplitude,Product Analyst," Demonstrated thought leadership in analytics, data science and/or growth. You get data. 3+ years of data science, product analytics and/or growth analytics..."
drawbridge,Data Engineer, Build scalable data pipelines and create data models to support analysts and other stakeholders. It starts with the Data....
Visa,Global Public Policy Regulatory Affairs Analyst or Manager," Combination of academic background in public policy, law, economics, international relations, journalism or political science with statistics, mathematics, data..."
Sitecore,Data Science Product Manager, Data Science Product Manager. We are looking for a sharp Data Science Product Manager to help our Data Science team build a customer centric machine learning...
Zynga,"Data Scientist 4, Words with Friends"," Provide guidance on the Data Science and Analytics roadmap:. Automate data pipelines, models, analyses, and reporting using distributed infrastructure...."
