company,job,summary
Harnham,Data Engineer, You will also be supporting the data science team by building data tools. Building data pipelines out from scratch....
Feedzai,Data Scientist," As a Data Scientist, your main role is to do Data Science work on projects for our clients. Communicating your findings to the project manager and assisting him..."
Lyric,Staff Data Scientist," 5+ years of Engineering &amp; Data Science experience. Collaborate closely with other data scientists, engineers, and product teams...."
Amazon.com,Senior Data Scientist," As a successful data scientist at Amazon Music, you need to understand the streaming music industry and the meanings of data across Marketing, Product, Finance,..."
Cruise Automation,Backend Engineer - Data, Build highly scalable data pipelines to handle ingestion and processing of vehicle data. Experience building scalable data pipelines....
Workbridge Associates,Director of Data Science and Data Engineering, 5+ years of leading and building out a data science or a data analyst team. The leading online ticket exchange company is hiring for a Head of Data Science....
Cruise Automation,Staff Backend Engineer - Data, Design highly scalable data pipelines to handle ingestion and processing of vehicle data. Experience building scalable data pipelines....
Electronic Arts,Advanced Analyst," Act as a liaison between studio and other central teams (insights, data science, CRM, PBM, social marketing, etc.)...."
SQA Solution,Data Engineer," Develop and optimize big data pipelines for data scientists. Architect solutions that will transform data into an analyzable format for data scientists, data..."
Google,"Cloud Data Engineer, Google Professional Services"," You will work on data migrations and transformational projects, and with customers to design large-scale data processing systems, develop data pipelines..."
Zipcar,Data Engineer, Data pipelines (e.g. Data processing frameworks (e.g. Contribute to data architecture and technology decisions with expert understanding of data engineering...
SASB,Research Analyst," Develop expert knowledge of financial value drivers, performance data on SASB standards, and run analytics on the interaction between sustainability and..."
Harnham,Data Scientist Lead - Remote Opportunity, Experience with common data science toolkits and data visualization tools. Data Scientist *remote opportunity*....
Angle Technologies,Machine Learning Engineer," We use ML to help populate our worlds in a way that feels organic and handmade. Design, build and own Novel uses of texture synthesis and style transfer...."
Feedzai,Data Visualization Engineer," As a Data Visualization Engineer at Feedzai, you will work alongside our Data Scientists and Data Engineers to distill big data into insightful and useful..."
IPG Mediabrands,Mediabrands Data & Technology - Data Engineer," Technically own various data platform modules including Data ingestion, DSL processor, Orchestration, Validation, Transformation &amp; Storage in the data platform...."
"Grammarly, Inc.",Software Engineer - Data Platform," Work with the data team on generating code from tracking specifications; You have strong software engineering fundamentals, including knowledge of algorithms..."
Credit Karma,"FP&A Analyst, Credit Cards"," Build revenue forecasts for credit card initiatives across teams including Product, Data Science and BD. Your key business partners will be the GM of Credit..."
Square,"Senior Product Analyst, Seller"," Own, coordinate, and solve complex, cross-functional problems that extend beyond the traditional boundaries of product domains, analytics, and data science...."
Square,"Product Marketing Analyst, Payments"," Data science languages (Python, R). Experience with large data sets is a plus. Hypothesis formation, data model design, logging, ETL, validation, analysis,..."
Cruise Automation,Full Stack Engineer - Data," The data infrastructure team is responsible for building the infrastructure to ingest and process the petabytes of AV data coming from the car, simulated tests,..."
Acumen LLC,Data and Policy Analyst III – Healthcare and Payment Policy Research Coordinator," Assists with developing research files from large confidential datasets, such as health care claims, enrollment data, and payment data...."
BNY Mellon,Quantitative Research Analyst," Rigorously formulate and test fundamental hypotheses against empirical data; This may include fundamental data retrieval and analysis, or broad index allocation..."
