company,job,summary
University of California Office of the President,Benefits Data Analyst - Health Analytics, Benefits Data Analyst - Health Analytics. University of California Office of the President....
"Williams-Sonoma, Inc.","Associate PR Manager, Williams Sonoma", We've seen some big changes since our first brick-and-mortar store opened more than half of a century ago. About the Role....
Esurance,Data Scientist, Extensive experience in data management and data scrubbing. Developing algorithms and predictive models using large amounts of structured and unstructured data....
Abbott Laboratories,Data Analyst I," Assisting in activities (which are not limited to), extraction of big data, data manipulation and cleaning of data, and continuous improvement of complaint..."
New Relic,Order Entry Analyst (Contract), Ensure prompt and accurate billing and provisioning of customer accounts through manual data entry. Our stewardship of the data of many thousands of customers...
Sierra Club,Data Analyst (Limited Duration with possible extension), Limited Duration Data Analyst. Inform and play a key role in implementing data structure for cross-functional data systems (e.g....
IDEO,IDEO U and OpenIDEO - Data Analyst (Contract)," IDEO U &amp; OpenIDEO - Data Analyst (Contractor). You have solid statistical and data analysis skills (e.g. Generating ideas for data analysis, then shifting..."
Dropbox,Compensation Analyst," Manipulate and analyze data sets to distill insights, convey findings and make recommendations to business partners...."
"Williams-Sonoma, Inc.",Financial Analyst I - Pottery Barn, We've seen some big changes since our first brick-and-mortar store opened more than half of a century ago. Financial Analyst l - Pottery Barn....
LendingClub,Data Engineer, As a talented Data Engineer you will join our growing Data Technology team to help drive business decisions. 2+years of Development of high performance SQL/Hive...
ZapLabs LLC,Associate Data Operations Analyst," Manage real estate data, harvest and publish systems to maintain accuracy of data. Associate Data Operations Analyst...."
Skip Scooters,Head of Data Science," Work cross-functionally with peers (platform engineers, data infrastructure, business teams) to shape the roadmap for data science @ Skip...."
Looker,"Data Analyst Consultant, Professional Services - SF", Experience with data warehousing; Develop a data model around stated use cases to capture client’s KPIs and data transformations....
Zeus Living,Data Engineer," 2+ years of experience in a data engineering or data analytics role. The data engineer is responsible for designing and developing robust, scalable solutions..."
Amazon.com,Data Center Chief Engineer," Act as an escalation point for all facilities-related issues within the data center, escalating to the Data Center Facility Manager as needed...."
Looker,Customer Success Manager - SF, It’s a big part of what sets us apart. Help fast moving high profile organizations navigate change and revolutionize how they use data....
Twitter,Machine Learning, Experience using big data platforms such as Spark or Hadoop. What You’ll Do:....
Kaiser Permanente,Health Data Analyst IV Decision Support," Trains and coaches less-experienced healthcare data analysts on data retrieval techniques, programming practices, and statistical analysis and data..."
Uber,Product Insights Data Analyst," The candidate will demonstrate ability to structure data, turn data into insights and insights into actions that assist senior management with decision making...."
Capgemini,SAN FRANCISCO Campus Recruiting 2018 - I&D - Data Analyst," (Includes Data Modeler, Data Miner.). You are responsible for data related activities such as data extraction, profiling, cleansing, de-duplication,..."
C3 IoT,Strategy Associate," C3 IoT meets an urgent and fast-growing demand for enterprise scale Big Data, AI, and IoT applications to enable Digital Transformation...."
Apple,Search Ads Platform Specialist, Excel/Numbers and data pivoting savvy is critical. Experience working with data and relating it an intelligent and cohesive manner in order help customers grow...
Elsevier,Data Analyst," Data analysis and insight generation with business impact. Like us you thrive in a complex data environment. Within a team of ~35 analysts and data scientists,..."
Funding Circle US,People Ops Coordinator, Ensure our systems always have the right people data by updating and auditing people data on an ongoing basis....
Levi Strauss & Co.,Global Merchandise Planner, Demonstrated strong analytical skills to interpret meaningful themes from quantitative data. Analyze data in order to provide Global Merchandising with a solid...
Invoice2go,Customer Operations Associate, We are a team of driven individuals who are passionate about solving big challenges for the world's smallest businesses....
Opendoor,City Operations & Strategy, Existing proficiency in SQL is a big plus. Analytical— draws own conclusions using data to quickly identify root causes of performance....
AllianceData,Account Representative, Alliance Data participates in E-Verify. We are the world’s leading affiliate marketing network - we transform digital marketing with the help of big data and...
Change.org,"Data Engineer, Email Operations"," Data pipeline/ETL experience. Experience with NoSQL data stores e.g. Redis, Cassandra. As a Data Engineer in our San Francisco office, you'll be part of a close..."
Kaiser Permanente,"Senior Data Analyst, Marketing"," The Data Analytic Consultant provides support in making strategic data-related decisions by analyzing, manipulating, tracking, internally managing and reporting..."
Ipsy,Data Analyst, Partner with Engineering to optimize data tracking/quality and drive data warehouse improvements. Excellent SQL and data warehouse skills....
Yelp,Sales Training Associate," Pull reports and compile data for sales leadership team. 1-3 years working within a sales setting, experience with training coordination, or project management..."
Endeavor,"Endeavor Global - Associate, Access to Capital", The Big Picture:. You will oversee rigorous data management processes and track the successful delivery and outcomes of capital-raising services for...
Google,"Data Analyst, Trust and Safety, YouTube"," Conduct data analysis project work to scope policy issues and quantify their impact. In this role, you will also serve as the policy and data expert on cross..."
VF Corporation,"The North Face: Associate, Global Strategy", Experience with the application of market data and consumer insights in developing business strategy considered a strong plus....
Google,"Data Scientist, Engineering"," Work with large, complex data sets. (e.g., as a statistician / data scientist / computational biologist / bioinformatician)...."
Affirm,Operations Specialist," Capable of accurate data entry / transaction processing. Experience in loan servicing and customer support, particularly in dispute and/or chargeback handling..."
Uber,Data Analyst- Data Viz," Build data models and pipelines. Scale the core data warehouse model. At Uber, we have many opportunities to work with large data sets and to build essential..."
EPAM Systems,Big Data Engineer," As a Big Data Engineer, you will be working on the collecting, storing, processing, and analyzing of large sets of data...."
Automattic Inc.,Business Data Engineer," Hands-on, production experience with big data technologies (Hadoop, Hive, Impala, HBase) and data pipelines...."
"Williams-Sonoma, Inc.",Staffing Coordinator," Effectively translates data into actionable insights, strategies and financial plans. Input budget information including data entries for travel, advertising..."
Fastly,Deal Desk Specialist, Fastly is a small company with a big reach. Review and update customer account information to ensure high degree of data accuracy....
"Williams-Sonoma, Inc.","Designer, Product Development"," Gather market data on key fashion trends considering such elements as fabrication, materials, color schemes and designs...."
MicroStrategy,"Senior Consultant (Big Data, BI)"," Big data (Hadoop, MongoDB, Cloudera, MapReduce, Hive, Pig etc.). MicroStrategy Senior Consultants empower customers to make more informed decisions by providing..."
Sizmek,"Big Data (Hadoop, SRE) Administrator", Our Big Data environment handles more than 40+ PBs of data over large clusters with 1000+ nodes. Experience with multiple open source tool sets in the Big Data...
Clarity Insights,"Data Analyst - Consultant - San Francisco, CA"," Participates in requirements, gathering processes for data integration, data analytics and/or information delivery solutions...."
Meltwater,Human Resources Intern," We’re working on some of the most interesting technology problems out there… big data, digital intelligence, and social media...."
JUUL Labs,Brand Protection Investigation Coordinator, Experience working with confidential data. We'll help you set big goals - and exceed them. Analyze North America brand protection data to identify principal...
Gap Inc. Corporate,Manager - Customer Data + Growth Analytics," The Manager, Customer Data &amp; Growth Analytics is focused on leveraging customer data and analytics methods to drive customer and business outcomes for key..."
