company,job,number_of_evaluations
Viveris,passionné(e)s de Data ! Pour 10 postes de Data scientists H/F,6 avis
Vallourec,Alternant - Data engineer / Junior contrôleur interne H/F,502 avis
Vestiaire Collective,Global CRM Data Analyst,-
SOFT COMPUTING,Consultant Data Analyst F/H,8 avis
soft.computing,Consultant Confirmé Data Engineer,-
Murex S.A.S.,Internship - Automation of Data Stewardship Workflow urgent,-
IQVIA,"Data Engineer, Systems Engineering, RWAS Technology",95 avis
JCDecaux FR,Stage - Data Scientist Machine Learning - Mai/Juin 2018 H/F,183 avis
Innoscape,Python developer - Data extraction (stage / job étudiant),-
CALIS-CONSEIL,consultant informatique MOA Data,-
tns sofres,"Head of Data & Analytics - Insights, France",40 avis
-,Caracterisation and classification of data through multi-scale invariant features,-
KPMG,Junior Technology Transformation,4 383 avis
Pretty Simple,Data Engineer,-
Renault,Architecte Data Finance (H/F),3 045 avis
BeNext,Data Product Owner - DataLake looking for Captain,-
Amgen,Responsable des Opérations Cliniques,967 avis
Harnham,JUNIOR DATA SCIENTIST - ONLINE MEDIA,-
Lafarge,Titre de l'annonce Data Intelligence en Alternance (H/F),517 avis
CAP FI TECHNOLOGY,Commando IT H/F,-
Centre Hospitalier Sainte-Anne,Technicien de Laboratoire,4 avis
BearingPoint,Stage en Data & Analytics (H/F),149 avis
Novagen Conseil,Ingénieur Big Data / Datascientist F/H,-
Kpler,Data Engineer Internship,-
PwC,Actuaire junior,5 524 avis
IQ ANALYTICS,Data manager/ data analyst F/H,-
KPMG,Analyste Junior Risque de marché Quantitatif,4 383 avis
INTERSEC,Senior Géo Data Scientist F/H,-
Showroomprive.com,LEAD DATA ENGINEER - H/F,29 avis
iBanFirst,Business Intelligence / Data Analysis Lead,-
ANAYA,Developpeur BIG DATA F/H,8 avis
TINYCLUES,Data Engineer,-
Sogeti France,ARCHITECTE BIG DATA H/F,20 avis
Institut Curie,Post-doc position - Machine learning and statistical analysis of multi-level cancer omics data,21 avis
EY,Consultant Expérimenté Analytics / Data Scientist H/F,5 232 avis
SimpliField,STAGE/ALTERNANCE BUSINESS ANALYST/OPERATIONS,-
ESTC Officiel,[CDD-CDI] Head Hunter / Business Developer pour le TOP100 – Bordeaux ou Paris | 40/50k€,-
BNP Paribas Real Estate,Data Analyst H/F – Digital Path - BNP Paribas Real Estate,57 avis
Connectt Travail Temporaire,Moa data science,3 avis
PwC Société d'Avocats,Apprenti Documentaliste,5 524 avis
Micropole,Consultant Sénior Data Scientist - H/F,9 avis
C3 IoT,Software Engineer - Applications (Paris),-
Talan,Chef de projet décisionnel (H/F),7 avis
SoBus,INGÉNIEUR ALGORITHMIE,-
soft.computing,Consultant Référent Tableau,-
Criteo,Data Analyst – Product Analytics,21 avis
Deloitte,Stagiaire Economic Advisory,6 694 avis
Groupama,Datascientist H/F,309 avis
AXA,Ingénieur de la Data - Data Engineer (F/H),-
CAP FI TECHNOLOGY,MOA Santé - Prévoyance H/F,-
Premier Ministre,Chargé(e) de mission « responsable du pôle sécurisation des projets »,2 avis
AXA,Chargé de projet Machine Learning - CDD 12 mois F/H,-
CGI,Alternance conseil : Data / Contrôle de gestion - Energies Utilities Telecoms & Media H/F,1 659 avis
BearingPoint,Consultant(e) junior (H/F) Equipe Data & Analytics,149 avis
-,Thèse CIFRE (RENAULT-LIPN),-
BeNext,Data Engineer - Et si on Hadoop'tait Scala ?,-
Groupama,Chargé(e) de Projets Intelligence Artificielle H/F,309 avis
soft.computing,Consultant Référent Talend,-
