company,job,number_of_evaluations
IDential,Advisory Enterprise Architect – Big Data,-
"Entercoms, Inc.",Junior Software Engineer - Full Stack,-
Friday Media Group,Senior Customer Support Agent,-
Melza Consulting,Data Engineer,-
Melza Consulting,Software Engineer + Big Data,-
Zeelo,Frontend Engineer (JavaScript with React.js),-
NicePeopleAtWork,Business Analyst,-
Bismart,RECEPCIONISTA PART/TIME TARDES. (PRÁCTICAS).,-
Sellbytel Group S.A.,Junior Big Data Developer,13 valoraciones
Satellogic,Data Platform Developer,-
NicePeopleAtWork,Graphic Designer (part-time internship),-
Typeform,Director of Engineering,-
Digital Origin,Senior Data Scientist,-
Choice S.A,Consultor Técnico Dynamics NAV,-
TravelPerk,Director of Customer Acquisition & Growth,-
Sdad Iwantic S.L.,Data Engineer,-
Eurecat Centro Tecnológico de Cataluña,GESTOR DE PROYECTOS INTELIGENCIA ARTIFICIAL / INDUSTRIA 4.0,-
InMotion Ventures,Frontend Engineer (JavaScript with React.js) - Zeelo,-
Social You,Big Data Information Architect,-
AdQualis Executive Search,Tax Advisor AQES-B9948,-
Quantum Metric,Customer Success Engineer (European based),-
TravelPerk,Customer Support Agent,-
TravelPerk,Business Travel Consultant (with Amadeus),-
Rocketroi,Junior Backend Developer,-
Rocketroi,FrontEnd Junior Developer,-
Stuart,Customer Support / Helpdesk - Fluent SPANISH/ENGLISH Speakers (Barcelona),-
Tiller Systems,Client Support Lead - Barcelona - Permanent,-
Red Points,Enforcement Agent (Internship),-
Stuart,Financial Assistant Intern (Barcelona),-
Stuart,Solutions Engineer (Barcelona),-
TravelPerk,Customer Support Team Lead,-
FloraQueen,Traffic Manager,-
TravelPerk,Customer Support Intern,-
CMP Group,Database Administrator (DBA),-
TravelPerk,Senior Customer Support Agent,-
Tiller Systems,Office Manager - Barcelona - Permanent,-
Carnovo,Junior Business Intelligence Consultant,-
Mobile World Capital,5G National Observatory Program Manager,-
Zeelo,Backend Team Lead (PHP),-
NicePeopleAtWork,Head of Partnerships,-
CMP Group,Product Owner,-
Melza Consulting,DevOps Engineer + Big data,-
Eurecat Centro Tecnológico de Cataluña,PROMOTOR TECNOLÓGICO / INGENIERO PRE-VENTA,-
Pepe Jeans Group (office),IT Business Intelligence & Analytics Manager,-
CMP Group,QA Automation Engineer (Backend),-
Stuart,QA Engineer (Barcelona),-
InMotion Ventures,Backend Team Lead (PHP) - Zeelo,-
Stuart,Product Designer (Barcelona),-
Itnig,Product Designer at Quipu,-
TravelPerk,Product Owner,-
Marcus Evans Barcelona,Inside Sales Executive,-
Degustabox,Online Marketing Internship - German Speaker,-
BETWEEN,Software color specialist,6 valoraciones
IDIF,Ingeniero,-
Atos,MEV - BCN - IT Security Architect,1.626 valoraciones
CMP Group,Software Security Engineer,-
Midokura,Software Engineer - MidoNet Edge Cloud Platform,-
HAYS,Consultor/a PL/SQL o Microstrategy,566 valoraciones
CMP Group,Project Manager (Technical Operation),-
HAYS,Key Account Manager Francia,566 valoraciones
KEY CONSULTING,Ingénieur d'affaires H/F,-
TravelPerk,Business Recruiter (Sales and Marketing specialist),-
Rocketroi,Senior Backend Developer,-
Tiller Systems,Client Support Specialist France - Barcelone - Permanent,-
HAYS,Linux Senior Systems Engineer (END CLIENT),566 valoraciones
BETWEEN,QA Tester,6 valoraciones
BETWEEN,Técnico/a Helpdesk,6 valoraciones
HAYS,Linux Senior Systems Manager (END CLIENT),566 valoraciones
HAYS,Software test analyst (HPQC- ALM),566 valoraciones
TravelPerk,Vice-President of Sales,-
BETWEEN,Helpdesk con inglés,6 valoraciones
NicePeopleAtWork,Front-End Developer,-
Vertigo Media SL,French Account Manager Trainee - Online Marketing,-
NicePeopleAtWork,Accountant and Financial Reports,-
REDCAT DIGITAL,Product Owner,-
HAYS,Jefe de Proyectos IT (cliente final),566 valoraciones
Social You,Digital analyst / traffic manager,-
Typeform,Senior Frontend Developer - React,-
BETWEEN,Project Manager .Net,6 valoraciones
Tiller Systems,Sales Executive Portugal - Barcelona - Permanent,-
Tiller Systems,Sales Executive - Barcelona - Permanent,-
Typeform,Senior Backend Developer,-
HAYS,Responsable Informática Industrial (FARMA Multinacional),566 valoraciones
NicePeopleAtWork,Java Developer,-
Websays,Java Full Stack Developer,-
BETWEEN,RESPONSABLE SOPORTE IT CON INGLÉS,6 valoraciones
Rocketroi,Full Stack Java Developer,-
BETWEEN,Administrador/a de DBA,6 valoraciones
BETWEEN,Programador/a Backend,6 valoraciones
BETWEEN,Analista Programador eCommerce - Magento,6 valoraciones
Tiller Systems,Network Project Manager - Barcelona - Permanent,-
Affinis Consultoría en RRHH S.L.,INGENIERO/AS EN PRÁCTICAS,-
HAYS,NodeJS Developer,566 valoraciones
TravelPerk,Account Director DACH - Native German Speaker,-
Webinterpret,Sales Agent (French Market),-
HAYS,SAP BW/Hana ABAP Developer,566 valoraciones
Walters People,Backend Developer,-
BETWEEN,Programador/a .Net Junior,6 valoraciones
BETWEEN,Programador/a ABAP,6 valoraciones
TravelPerk,Software Product Manager,-
BETWEEN,Técnico/a soporte (alemán fluido),6 valoraciones
BETWEEN,ANALISTA PROGRAMADOR/A.NET,6 valoraciones
BETWEEN,Programador/a Java,6 valoraciones
Social You,Frontend Developer,-
BETWEEN,Programador/a C++,6 valoraciones
BETWEEN,Developer .Net,6 valoraciones
