company,job,number_of_evaluations
CodeGuild,Medior Java Software Engineer | € 60.000 + 5%,3 reviews
CodeGuild,Medior Distributed Java Software Engineer,3 reviews
CodeGuild,Senior Core Java Developer Distributed Data Processing Amsterdam,3 reviews
CodeGuild,Senior Java Developer Big Data Amsterdam,3 reviews
CodeGuild,Front-end developer | Angular 4 & TypeScript | Red levens wereldwijd,3 reviews
CodeGuild,Senior Frontend Developer | Team-up with fellow elite engineer,3 reviews
CodeGuild,Senior Java Developer Amsterdam | eCommerce,3 reviews
CodeGuild,"Full stack JavaScript Developer | NodeJS, Microservices, AWS",3 reviews
CodeGuild,"Front-end Developer | React / Redux, Node, Microservices, AI",3 reviews
CodeGuild,Lead Scala Software Engineer | up to € 111.000,3 reviews
CodeGuild,Senior/Lead Java Developer | Build from Scratch!,3 reviews
BK Professionals,Stage HBO Technische Bedrijfskunde Internet of Things (Per september 2018),6 reviews
CodeGuild,Senior Core Java R&D Software Engineer,3 reviews
CodeGuild,Senior Java Software Engineer | € 80.000 + 5%,3 reviews
CodeGuild,Senior Distributed Software Engineer | Java Scala,3 reviews
CodeGuild,Medior Java Developer | Big Data | € 60.000,3 reviews
CodeGuild,Senior Core JavaScript Developer Amsterdam,3 reviews
CodeGuild,Senior JavaScript Developer Amsterdam Angular,3 reviews
CodeGuild,Lead Java Software Engineer High Performance | tot € 90.000,3 reviews
CodeGuild,Lead Java Software Engineer | Schaalbaarheid & Performance | € 90.000 + 10%,3 reviews
CodeGuild,Tech Lead Software Engineer Amsterdam Java Scala,3 reviews
YoungCapital,Javascript developer,61 reviews
CodeGuild,Lead Developer | Java & Scala/Akka | tot € 85.000 + 10% bonus,3 reviews
CodeGuild,Experienced Core Java Developer,3 reviews
Opus Recruitment Solutions,Linux Systems Engineer,-
CodeGuild,Java Developer | Build from Scratch!,3 reviews
CodeGuild,Full Stack JavaScript Software Developer React,3 reviews
Databricks,Software Engineer - Spark Runtime (Amsterdam),-
Anchormen,Big Data Engineer,-
Harvest,"Developer, JAVA / .NET . Alleen voor de top 5% software engineer!",-
Xomnia,Data Scientist,-
Payvision,Associate Data Engineer,-
Analyse People,Global Data Scientist | FMCG | Amsterdam,-
Harvest,Harvest Talent Program – Java / .NET / Data Science,-
DSI Analytics,Data Scientist (Consultant),-
Xomnia,Data Science Traineeship,-
JL Resourcing,Dev Engineer Java,-
Pacmed,RA/QA Specialist (AI in Healthcare),-
fundsUP,Inbound Email Marketer,-
Qualogy,(Senior) Data Scientist,4 reviews
Synechron,Data Scientist Finance Risk,-
Hotelchamp,Senior Data Scientist (FT),-
VentureBuilders,Business Development Lead,-
Reynen Court LLC,"VP, Law Firm Relationships",-
Sanoma Media,Data Scientist Junior/Medior/Senior,10 reviews
Faction XYZ BVBA,Business Development Manager,-
Beerwulf,Logistics Expert eCom,-
fundsUP,Community & Customer Success Manager,-
Ambassadors,Junior Frontend Developer (React),-
ParaBotS,Medewerkers met een algemene achtergrond in Kunstmatige Intelligentie,-
Triple A Risk Finance,Medior Consultant Data Analist,-
Ambassadors,Junior API and Systems Engineer,-
Weagree,Klantsucces ('sales'),-
Weagree,Innovatief jurist,-
MBR Partners,AI/ML Solutions Architect,-
Flytxt Mobile Solutions,AI / ML Solutions Architect,-
inSided,Head of engineering,-
JOEP+CO,Data Scientist,-
SDP,"Data Warehousing Architect, AWS",-
Weagree,Innovation-minded lawyer,-
VU,Lecturer / Coordinator Business Analytics,-
inSided,Frontend developer (Madrid),-
inSided,Backend developer (Madrid),-
inSided,Frontend developer,-
inSided,Backend developer,-
SDP,"MS SQL Database Administrator, big data environment",-
WKL Consultancy,Data Scientist | Tech startup | Amsterdam,-
Eagle Vision Systems,Master thesis project: Deep learning for label inspection,-
de Bijenkorf,Test Automation Engineer,47 reviews
VentureBuilders,Software developer,-
L1NDA,Back-end (Python) Developer,-
Weagree,Studentstage communicatie,-
SDP,"Data Warehouse Architect, BI Cloud environment",-
ORTEC,Back-End Developer,-
Schuberg Philis,Business Intelligence Specialist,-
inSided,DevOps/PHP Engineer,-
VIVAT,Actuarieel Professional - Actuariaat van de Toekomst,29 reviews
FixedToday,Azure professional with data analytics expertise for machine learning implementation,-
Anchormen,Tech Lead,-
UGOO,Technisch consultant innovation & funding (startend of ervaren),-
Levitech BV,Technisch Software Engineer,-
Magno IT Recruitment BV,O180270: DevOps Engineer in Amsterdam area,-
Weagree,Internship communication/(online) marketing,-
Pointer Brand Protection,Senior Developer,-
Omnia Retail BV,Front-end Developer,-
100grams,Lead Backend Developer,-
MBR Partners,Sales Engineer - the Netherlands,-
Databay,INNOVATION LAB: SCRIPTIE / STAGE,-
Oxygen Digital Recruitment,"Back-end / Data engineer – Spark, Hadoop, Hive, SQL - Amsterdam",-
Independent Recruiters,Data Scientist,5 reviews
Sumo Logic,Enterprise Sales Engineer,-
ALLSAFE Management,Junior Online Marketeer,-
OLX Group,Senior PHP Developer - Tradus,-
Independent Recruiters,Data Analist,5 reviews
Hays,Business Intelligence Specialist,566 reviews
FixedToday,Trainer Machine Learning with Big Data and Python (part-time / korte opdracht),-
EyeOn,Consultant fast planning solutions,-
Orange Quarter,DevOps Engineer,-
de Bijenkorf,Java Developer,47 reviews
PPHE Hotel Group,Demi Chef de Partie,-
Sterrk,Fullstack developer,-
thobs,Senior Software Engineer,-
Schuberg Philis,Mission Critical Software and Systems - Cloud Engineers,-
ABC Professionals,Servicemonteur Stadswarmte,8 reviews
BOLD Company,.NET Developer,3 reviews
Sterrk,Medior PHP Developer,-
Layer,DevOps / Linux System Engineer - SaaS - 80K,-
Sterrk,Senior .NET Developer,-
BOLD Company,".NET Developer | Internationaal betaalplatform | ASP.NET, C#, HTML | Topvoorwaarden | Salaris tot €5.000,- per maand",3 reviews
WKL Consultancy,Senior IOS Developer | Tech startup | Amsterdam,-
WKL Consultancy,Senior Android Developer| Tech startup | Amsterdam,-
ING,Head of Data,1.460 reviews
ING,"Data Scientists, Machine Learning experts (junior tot senior level)",1.460 reviews
ING,Senior Data Analist – Business Intelligence voor ING kantoren,1.460 reviews
ING,Predictive analytics expert,1.460 reviews
ING,Model Validator Market & Operational Risk,1.460 reviews
ING,Trading Quant - Financial Risk Model Development,1.460 reviews
ING,Frontend Developer WBAA,1.460 reviews
ING,Chapter Lead Data Science,1.460 reviews
ING,Junior Market Risk Professional,1.460 reviews
Perca Search,Grid Owner Data Analytics,-
ING,Senior Market Risk Professional,1.460 reviews
Spilberg IT DEV CAREERS,Junior / Medior Machine Learning developer voor een start-up,-
ING,Full Stack Dev Engineer Applied Machine Learning / Virtual Assistants,1.460 reviews
ING,Back End Developer / Scala / Java,1.460 reviews
ING,Senior Full-stack Engineer for Global FinTech Innovation Project (Contractor or Freelance),1.460 reviews
Java Professionals,Fullstack Java developers start-up,3 reviews
Spilberg IT DEV CAREERS,Medior Java/ Big Data developer voor een technisch bedrijf,-
