company,job,number_of_evaluations
Groupon,Software Development Engineer (w/m),615 Bewertungen
Advertima,Backend Engineer (m/f),-
HERE Technologies,Sr Software Test Engineer,193 Bewertungen
Qidenus Group GmbH,DevOps Engineer,-
Planet Expat,Software Engineer (Front-End),-
Groupon,Software Development Engineer - Merchant (w/m),615 Bewertungen
Digital Performance GmbH,Junior SEA Manager (m/f),3 Bewertungen
eBay Inc.,Software Developer in Test,1.395 Bewertungen
enersis,Werkstudenten agile Softwareentwicklung (w/m),-
Nigel Frank International Limited,BI & Big Data Engineer (m/w),-
Codepan,Business dev. and Operations intern // Codepan,-
Charité - Universitätsmedizin Berlin,Microscopy and Image Analysis Specialist (f/m) Department of Internal Medicine / Infectious and Respiratory Diseases,2 Bewertungen
Zalando SE,Dedicated Owner - Fashion Recommendation,78 Bewertungen
Project A Ventures,Senior Editor / Redakteur (m/f) - Video,-
Klarna,Software Engineer - Java,-
Zattoo,Quality Assurance Engineer B2B,-
M2. technology & project consulting GmbH,(Senior) Business Intelligence Consultant,-
Venturi,(Senior) Data Scientist/ Data Analyst (m/w),-
Deutsche Bahn,Sekretariat (w/m) in der Konzernleitung,391 Bewertungen
Wayfair,Senior Business Intelligence Analyst (m/f),321 Bewertungen
dunnhumby,Senior Software Developer [distributed storage],-
Zalando SE,Lead Customer Intelligence Lounge,78 Bewertungen
Meelogic Consulting AG,Technical Lead,-
eBay Inc.,Lead Product Analyst,1.395 Bewertungen
ResearchGate GmbH,Marketing Manager,-
Zalando,MicroStrategy Developer,78 Bewertungen
Digital Performance GmbH,SEA Manager (m/f),3 Bewertungen
Sparks42,DevOps Engineer (m/f),-
FlixBus,Senior Business Analyst (m/w/x),9 Bewertungen
MSA - The Safety Company,Software Developer (fullstack) m/f,-
Google,"Manager, Solutions Architecture, Google Cloud (Apigee)",2.392 Bewertungen
AirHelp,Senior Product Manager-Experience,-
Planet Expat,Key Account Manager,-
Amazon.com,Senior Visual Designer – AWS Design System,24.701 Bewertungen
Wargaming.net,Senior TechOps Engineer (m/f),-
Amazon.com,Senior Performance Engineer - AWS Redshift,24.701 Bewertungen
Delivery Hero,Senior Software Engineer - Scala (f/m),7 Bewertungen
GoEuro,Senior Analyst - Marketing,-
