company,job,number_of_evaluations
Atos,Graduates for engineering positions Amstelveen,1.626 reviews
McKinsey & Company,"Consultant - Digital Manufacturing, Operations",361 reviews
McKinsey & Company,Digital Consultant (Banking industry focus),361 reviews
McKinsey & Company,Digital Consultant,361 reviews
Scotch & Soda,Legal Counsel,30 reviews
Koning & Hartman,Consultant Industrial Automation,6 reviews
Uber,"Senior Regional Operations Manager (Restaurants), Uber Eats - EMEA",-
NewPeople,Digital Analytics Specialist Completed assignment,-
HTBA,Top vacature | Big Data Engineer,-
Growth Tribe,Head of Marketing,-
Universiteit van Amsterdam (UvA),PhD candidate or Postdoctoral researcher in Machine Learning & Deep Learning,-
SpotOnMedics,Personeel- & salarisadministrateur,-
Kraft Heinz Company,Next Challenge for Strategy Consultants,2.879 reviews
Deloitte,Qlikview developer,6.694 reviews
KLM,Solution Consultant (Maintenix),253 reviews
KLM,Operations Research Specialist,253 reviews
Robert Walters,BI Consultant,46 reviews
Cargill,Solutions Architect - Trading,2.602 reviews
Pegasystems,Solutions Consultant,-
Legian,Solution Architect,-
Deloitte,Junior Consultant Financial Business Process & IT,6.694 reviews
Kraft Heinz Company,Heroes in Marketing,2.879 reviews
ServiceNow,"Senior Manager, Product Operations - Policy",-
Consumatrix,Back-end developer,-
Provincie Noord-Holland,Senior Projectleider en Projectleider Informatievoorziening en ICT,6 reviews
Google,"SAP Product Specialist, Google Cloud (English)",2.392 reviews
Kraft Heinz Company,Supply Chain Manager,2.879 reviews
Interoute Germany,"Solutions Consultant (Cloud,SD WAN)",-
VimpelCom,Security Threat Analyst,14 reviews
Pegasystems,Senior Solutions Consultant,-
Walters People,Traineeship IT/BI,19 reviews
Teradata,Principal Delivery Lead,-
ORMIT B.V.,Philips ORMIT Digital Supply Chain Traineeship,-
Microsoft,WE HQ: Data Solution Architect - Retail,4.486 reviews
Yacht,Junior Reporting & Data Analyst,32 reviews
Alvarez & Marsal,Senior Director Restructuring Practice,-
Web Summit,Business Development Executive,-
ABN AMRO Bank,IT Internship - Improving search relevancy,1.008 reviews
Booking.com,Product Owner - Infrastructure,413 reviews
PastBook.com,Customer Happiness Team - temporary position ,-
Marsh,Junior Pensioen Consultant,-
Google,Warehouse Management System Super User,2.392 reviews
Masters In IT,Business Intelligence Specialist,-
Kraft Heinz Company,Senior Financial Analyst,2.879 reviews
Harnham,DIRECTOR DATA SCIENCE- DIGITAL,-
McKinsey & Company,Digital Consultant (Insurance industry focus),361 reviews
Deloitte,Business controller,6.694 reviews
Finest People,Junior Data Genius,11 reviews
TomTom,Software Engineer for Autonomous Driving Tooling,41 reviews
WUA,Research Stage,-
CGI,Software Engineer Junior (Insurance),1.659 reviews
Graydon,API Developer,4 reviews
Hypoport B.V.,FinTech Developer,-
iProspect,Dashboard Backend Developer,-
Staples Solutions,Commercial Analyst Retail,39 reviews
Booking.com,Attribution Specialist,413 reviews
Endouble,Online Projectmanager | Endouble | Amsterdam,-
Deloitte,Cyber Incident Response Specialist,6.694 reviews
McKinsey & Company,Big Data Architect - Digital McKinsey,361 reviews
MessageBird,Strategic Partnership Manager EU,-
Travix,Senior OPEX Controller - Amsterdam,8 reviews
ABN AMRO Bank,Meewerkstage - Reporting & Data Analysis,1.008 reviews
Deloitte,Finance & IT Controller,6.694 reviews
IHS Markit,"Senior Associate, Full Stack Developer, Data Delivery",-
Graydon Nederland BV,Senior Project Manager,6 reviews
Atos,Senior BI Consultant,1.626 reviews
Cargill,Senior Data Engineer (Global),2.602 reviews
Atos,Solution Architect / Security Consultant,1.626 reviews
Basic-Fit,French Legal Counsel,60 reviews
Commissioning Agents Ireland Ltd,Data Centre Commissioning Engineer,-
Fahr-Becker,Big Data Architect,-
Zoover,Internship iOS Development,-
KLM,Senior Finance Business Analyst,253 reviews
Elsevier,"Solution Marketing Manager, Life Science Platforms",469 reviews
ChipSoft,Senior Software Architect,4 reviews
Basic-Fit,Temporary French Legal Counsel,60 reviews
PwC,Actuarial & Quantitative (Senior) consultant (Utrecht),5.524 reviews
PwC,Actuarial & Quantitative (Senior) consultant,5.524 reviews
Microsoft,Cloud Solutions Architect,4.486 reviews
Universiteit van Amsterdam,Assistant or Associate Professor in Big Data Statistics and Econometrics for Business,19 reviews
Teradata,Senior Software Engineer TAS,-
Informatica,Governance Practice Lead (S),-
Magno IT,Network Consultant ACI,-
Hot ITem,Senior Big Data Engineer,-
AnalysePeople,Senior Big Data Engineer – Consultancy,-
MessageBird,Sales Finance Analyst,-
KLM,KLM Management Traineeship Business & IT,253 reviews
Liberty Global,DevOps Engineer,30 reviews
Holland & Barrett,Web analist,356 reviews
Madison Parker International,Data Science,-
ABN AMRO Bank,IT Internship - Communication & Multimedia design,1.008 reviews
Knab,Senior DBA (MS SQL),-
Teradata,Client Service Director,-
Nutanix,Sr. Systems / Presales Engineer - Netherlands,-
Hogeschool Inholland,Docent Programmeren en Testen,13 reviews
YourProfessionals,Data Engineer,-
Valtech,Data Technology Director,51 reviews
Teradata,Industry Consultant Financial Services,-
CGI,Java ontwikkelaar Customer Experience,1.659 reviews
Atos,"Junior Client Business Developer Public, Health & Transportation (P)",1.626 reviews
Deloitte,CIO Advisory Consultant,6.694 reviews
Trefi,Front-End Developers,-
Oracle,Cloud Pre Sales Solution Architect - Benelux market - Amsterdam office,3.952 reviews
Atos,Junior Consultant in Smart Industry (I4.0),1.626 reviews
Criteo,"Sales Manager, Agency & Brand",-
Goede Doelen Loterijen,Projectleider IT,-
Yacht,Big Data Trainee,32 reviews
Google,"Classification Program Manager, Import",2.392 reviews
Walters People,Financial Analyst,19 reviews
Service Driven Professionals,"Data Warehouse Architect, BI Cloud environment",-
Deloitte,Security Analyst,6.694 reviews
Nielsen,"Rich Media Collection Specialist,Germany",1.866 reviews
PepsiCo,Brand Marketeer eCommerce,9.709 reviews
NewPeople,Database Marketer,-
Birst,Regional Channel & Alliance Manager (UK or Netherlands – covering the Northern EMEA Region),-
Bloomon,Head of Business Development - Belgium,-
Devoteam,Technisch Projectmanager,-
Booking.com,Technical Lead,413 reviews
Cargill,Senior Excise & Customs Analyst,2.602 reviews
Atos,Internship Hospitality Desk ICT,1.626 reviews
PHIND,Big Data Engineer (intern),7 reviews
Stryker,Manager Accounting to Reporting,1.039 reviews
PHIND,Traineeship Data Engineer & Analytics,7 reviews
Equinix,Internal Audit Manager,135 reviews
PwC,Credit risk & Quantitative Consultant,5.524 reviews
ABN AMRO Bank,Corporate Banking Graduate Programme - Credit Risk,1.008 reviews
CodeGuild,"Core Java Developer Machine Learning, Big Data, Amsterdam",3 reviews
S&D interactive Media,Vacature webanalyse en optimalisatie - medior/senior,-
Liberty Global,Architect Voice,30 reviews
Birst,Principal Solutions Consultant - Partner Enablement Channel & Alliance EMEA (Based Netherlands),-
ServiceNow,Manager Revenue Recognition,-
Deloitte,(Senior) Manager Deal Financials,6.694 reviews
DANONE,Product Souring and Innovations Intern,887 reviews
KPMG,Senior Consultant Big Data Engineer,4.383 reviews
Booking.com,Customer Lifetime Value Specialist,413 reviews
Elsevier,Lead Software Engineer,469 reviews
Deloitte,(Senior) Proces Consultant,6.694 reviews
Young Analytics,BIG DATA PROFESSIONAL,-
KLM,Internship Customer Journey,253 reviews
Pegasystems,Principal Software Engineer,-
Monkey Business,Trainee Big Data m/v Amsterdam 024-0201,-
DANONE,Strategic Supply Chain Internship,887 reviews
Universiteit van Amsterdam,PhD candidate in Entrepreneurship & Innovation,19 reviews
Atos,Meewerkstage: Personal Assistant van de COO van Atos,1.626 reviews
IDEXX,Customer Master File Specialist I,268 reviews
Netflix,Partner Engagement Manager,-
Tommy Hilfiger,merchandise manager tailored,1.511 reviews
Framer,Growth Marketing Manager,-
Netflix,"Manager, Programmatic Marketing EMEA",-
Adyen,POS Product Manager,-
YoungCapital,Junior Big Data Engineer,61 reviews
Alvarez & Marsal,"Manager / Senior Associate, Valuations",-
EY,Scriptiestage - Forensic Technology and Discovery Services,5.232 reviews
Deloitte,Finance Strategy Junior Consultant,6.694 reviews
trainee.nl,Traineeship Business Analytics & Data Science,-
Textkernel,Technical Consultant,-
CareerValue,"Lead Data Scientist bij Data Science startup, uniek!",3 reviews
TomTom,Customer Project Manager,41 reviews
Kraft Heinz Company,Customer Collaboration Manager,2.879 reviews
Optiver,Audit Manager,10 reviews
Amplitude,Solutions Partner Manager (EMEA),-
VYE Professionals,Senior Big Data Marketing Analist - Amsterdam,-
Finest People,Senior Marketing Data Analist,11 reviews
Textkernel,Software Implementation Consultant,-
Textkernel,Front-end Developer,-
EY,Consultant | WO | Transaction Support,5.232 reviews
Deloitte,Manager Workday Consulting,6.694 reviews
Deloitte,CIO Advisory Manager,6.694 reviews
PwC,Senior Consultant People & Organisation,5.524 reviews
Deloitte,SAP FICO CONSULTANT,6.694 reviews
Yacht,Yacht IT Traineeship,32 reviews
Albert Heijn,Business Controller Merchandising & Sourcing,2.000 reviews
Atos,Meeloopstage Human Resources Legal,1.626 reviews
Traffic Builders,Stage: Software development (meeloop- of afstudeerstage),10 reviews
VYE Professionals,Medior Data Engineer Client Analytics - Amsterdam,-
YourProfessionals,Young Excellence Program Data Scientist,-
IDEXX,Digital Marketing Intern,268 reviews
Starred,Senior Backend Developer,-
IDEXX,"Marketing Intern - Education, Training & Enablement International",268 reviews
Diageo,Global Commercial Planning Manager,433 reviews
StarApple,Python Programmeur ( Microservices - Algoritmes - Datastructuren),-
PwC,(Senior) Manager Technology Data & Architecture,5.524 reviews
CodeGuild,Front End JavaScript Developer | Big Data Visualisation,3 reviews
Bloomon,Line Lead,-
TUI,"Process and Document Management Specialist, Inflight Supply Chain",424 reviews
KPMG,Senior Engineer Big Data Technology,4.383 reviews
ServiceNow,"Senior Platform Architect, Solution Consulting",-
ABN AMRO Bank,IT Internship - Market scan Transaction Filtering,1.008 reviews
Kunneman & Vandenbroek Recruitment Solutions,Big Data Trainee,-
Backbase,People Partner (HR BP),4 reviews
PastBook.com,Customer Happiness Intern for Italian market,-
PastBook.com,Customer Happiness Intern for Dutch market,-
Stryker,Intercompany Accounts Payable Specialist,1.039 reviews
