company,job,number_of_evaluations
SG CIB,Alternance - Chargé de Data Enigeer-(H/F),1 400 avis
Altran,DATA SCIENTIST H/F,203 avis
Allianz France,Data engineer (H/F),457 avis
Informatica,Big Data Consultant,122 avis
Direction des ressources humaines - Recruteur défe...,"Ingénieur DATA junior, en appui aux projets de transformation numérique du ministère",-
JOB4,Business Developer - le Big Data au service de l'AdTech F/H,-
Solocal Group,Data Scientist H/F,23 avis
JCDecaux FR,Data Engineer H/F,183 avis
Renault,APPR - BAC+5 - Apprenti(e) Ingénieur Data Analyste H/F,3 045 avis
YSANCE,Data-Scientist F/H,-
ENGIE,ALTERNANT DATA ANALYST (H/F),665 avis
HIGHTEAM,Intégrateur Big data,-
LOKAD,Senior Big Data engineer,-
FNAC DARTY,Data Scientist H/F,8 avis
BCA Expertise,DATA SCIENTIST H/F,11 avis
Exakis,Manager en organisation – Data Science (H/F),8 avis
Institut Curie,Post-doc position - Machine learning and statistical analysis of multi-level cancer omics data,21 avis
Ebiznext,Data Engineer - H/F,-
Bouygues Telecom,Data Owner,365 avis
Air Liquide,DIGITAL - Stagiaire Data scientist - (F/H),983 avis
Atos,Chief Data Scientist H/F,1 626 avis
Groupe Lobellia, Consultant MOE BI/Big Data F/H,-
IBM,Architecte avant-vente IBM (H/F) - Big Data (IdF),21 725 avis
BNP Paribas Wealth Management,Data Analyst h/f – Digital Path – BNP Paribas Wealth Management,57 avis
Quantmetry,R&D,-
AXA,Data Engineer (H/F),-
GFI,Data Scientist H/F,90 avis
Compagnie des Alpes,Chef de projet technique DATA-BIG DATA H/F,4 avis
JCDecaux FR,Stage - Ingénieur Big Data - Mai/Juin 2018 H/F,183 avis
ANALYSE INFORMATIQUE DE DONNEES,Data Scientist (Thésard/Docteur) F/H,-
Unibail-Rodamco,Data Engineer M/F,3 avis
Groupe Onepoint,Consultant(e) Big data et Business Analytics confirmé(e),5 avis
Canal Plus,Assistant(e) Data Scientist H/F,54 avis
Disneyland Paris,Stage : Ingénieur Data Innovation,459 avis
Group Corporate Functions,ARCHITECTE TECHNIQUE BIG-DATA H/F-(H/F),-
AXA,Junior Investment Data Quality Analyst - (F/H),-
Dentsu Aegis,Stage Data Analyst H/F,114 avis
IQ ANALYTICS,2 Data scientist F/H,-
IQVIA,DATA ANALYST H/F,95 avis
Groupe Lobellia, Consultant AMOA BI/Big Data F/H,-
Dentsu Aegis,Stage - Data Analyst en Machine Learning H/F,114 avis
Bouygues Construction,Chef de projet Data H/F,132 avis
Groupe Agrica,Data Architect H/F,3 avis
Actimage,Intégrateur graphique HTML/CSS,5 avis
AMF,Stage à la Surveillance des marchés - data scientist (H/F),106 avis
Hewlett Packard Enterprise,Consultant Technique Big Data,3 400 avis
Safran,Data Engineer DevOps H/F,374 avis
OCTO Technology,Consultant Data Geek (H/F),4 avis
Ividata,Développeur JAVA / Hadoop / Big data,-
Openfield,Data Vizualisation Engineer (H/F),-
McKinsey & Company,Data Engineer - Digital McKinsey,361 avis
Cegedim,Data scientist (H/F),49 avis
Dentsu Aegis,Consultant DATA H/F,114 avis
HN SERVICES - HN FORMATION - HN RECRUTEMENT - GROU...,Chef de Projet Data F/H,-
CFA INSTA,ADMINISTRATEUR BIG DATA (H/F),-
Lafarge,Titre de l'annonce Développeur outil BI / Big data en Alternance– H/F,517 avis
Quantmetry,NOS OFFRES,-
Gazelle Global SAS,Data engineer / Freelance,-
Direction Générale - Audit interne,Apprenti(e) Auditeur(trice) data scientist - DGAU00-AF H/F,-
Sogeti France,Chef de projet / Scrum master BI-Big Data H/F,20 avis
Renault,Solution Architect projets Data Qualité (H/F),3 045 avis
LOGTEAM,Architecte Big Data / AWS / Freelance,-
La banque postale,DATA MINER - STAGE,311 avis
Dynacentrix,Consultant Data Scientist (H/F),-
AXA,Data Scientist - CDD 5 mois F/H,-
managementsolutions,DATA SCIENCE CONSULTANT PARIS,-
EY,Consultants débutants en Système d'information et Stratégie IT - Paris H/F,5 232 avis
PSAPeugeotCitroen,Data Architect H/F,1 235 avis
Veolia,Contrat de Professionnalisation - HR Data Analyst,1 930 avis
Banque de France,Data scientist - H/F,106 avis
CAPFI VITADATA,Data Scientist F/H,-
Solocal Group,STAGE - Data engineer H/F,-
BusinessDigital.fr,OFFRE D’EMPLOI STAGE STATIONF : TECH,-
Azeo Talents & Technology,[Paris] - Consultant Data Analytics (H/F),-
Keyrus,Senior Data Scientist / Crantastic Tech Lead R H/F (Paris),-
Criteo,Data Analyst – Product Analytics,-
AREALTI BRAINPOWER,Responsable réseaux LAN Data Centers F/H,-
AXA,Data Analyst - Group Procurement / Claims (F/H) - Paris,-
GROUPE AFNOR,Chef de projet DATA (H/F),-
Groupe Onepoint,Consultant(e) Data Scientist,-
Sogeti France,Consultant BI - Analytics et Big Data H/F,-
Canal Plus,DATA ANALYST - CONQUETE H/F,54 avis
Dream Catcher Sales,Business Developer - Big Data & E-Marketing Paris F/H,-
Capgemini,Consultant Data Scientist confirmé H/F,5 578 avis
