company,job,summary
CAPFI,Data Engineer," Diplômé(e) d’une école d’Ingénieur, d’un Master 2 Informatique ou en Statistique/Mathématique, avec une spécialisation en Big Data ou Data Science...."
Google,"Quantitative Analyst/Statistician, Data Science"," At Google, data drives all of our decision-making. Work experience in a Statistician or Data Scientist role...."
DuPont,Master Data Specialist, Master Data Specialist. Data extraction and analysis. The role involves comparing data in SCM7 and IBP on HANA to ensure data consistency....
Dassault Systèmes,STAGE - Data Scientist - Representation Learning (H/F)," La marque EXALEAD est en charge des solutions d’intelligence (information intelligence) de Dassault Systèmes couvrant ainsi l’analytics, le machine learning, le..."
Nexton Consulting FR,Data Scientist," Dans un premier temps, le data scientist sera en binôme avec un data analyst. Contribuer avec le data analyst à sélectionner les données nécessaires...."
Linagora,Data Scientist H/F," De formation BAC+5 en statistiques / data science avec une première expérience en data analyse, vous maîtrisez les techniques statistiques et informatiques..."
Engie Digital,ENGIE Digital - Data Scientist (H/F)," DATA SCIENTIST (H/F). Diplômé d’une Grande Ecole d’Ingénieur généraliste, informatique ou Master Spécialisé en Data Science et ou Intelligence Artificielle,..."
UMANIS,CONSULTANT JUNIOR DATA F/H," (Big Data, Business Intelligence, Gouvernance des données, Data science),. Entreprise Créée il y a plus de 25 ans, Umanis est le leader français en Data (Big..."
Groupama,Datascientist H/F," Master 2 Statistiques, Data Science (Universités, ENSAE, INSUP, ENSAI, Centrale, Télécom ParisTech...). Au sein la Direction Marketing Distribution et Clients,..."
Dassault Systèmes,STAGE - Data scientist - sémantique / expression embedding & mapping automatique ...," Data Science / Machine learning. Vous serez intégré(e) à une équipe pilote de data scientists, développeurs et designers, au sein de l'organisation responsable..."
Keyrus Biopharma,Regulatory Data Coordinator (IDF) CDI," REGULATORY DATA COORDINATOR H/F. Nous recherchons un Regulatory Data Coordinator H/F, pour le département Consulting de notre société...."
itnovem.,Data Engineer - H/F," Au sein de la division Data Science et Engineering, notre futur data engineer interviendra pour les projets de la Direction du Digital SNCF, au sein de la Fab..."
KEYRUS BIOPHARMA,Regulatory Data Coordinator F/H," Nous recherchons un Regulatory Data Coordinator H/F, pour le département Consulting de notre société. Diplômé(e) d’un Doctorat en Pharmacie ou d’un Master en..."
AXA,Responsable Etudes Statistiques / Data F/H, Mener des études basées sur les méthodes de la data science. Vous aimez non seulement gérer des projets mais également analyser les données avec une approche...
soft.computing,Chef de projet Data Science," Gérez et pilotez les projets Data Science. En tant que Chef de Projet Data Science vous :. De formation supérieure en statistiques, vous avez déjà conduit..."
Pretty Simple,Data Engineer, Familiar with data warehouse and data modeling best practices. You live and breathe data integrity. We are looking for a skilled Data Engineer to work on our...
PwC,Analyste Data & Analytics Transactions," M&amp;A, fusions acquisitions, data, data science, BI, transactions, ts, deals, transaction services, analytics, stratégie...."
Avanade,Data Scientist H/F," As a Data Scientist, you will leverage your understanding of complex data analysis and modeling to assist project teams in extracting value from their data...."
Dream Catcher Sales,Key Account Manager - Data Science Paris F/H," Notre client, un des leaders de la Data Science Dédiée aux Directions commerciales et Communication de Grands Groupes et PME recherche un(e) Key Account Manager..."
Bel Group,Data Scientist (H/F)," Accompagné(e) par un expert en analytique et data science appliquée, vous :. Ainsi, nous avons récemment créé le Data Lab Bel, une structure dédiée à la Data..."
Group Corporate Functions,Stage - Assistant Data Science et Modélisation des Risques-(H/F)," En tant que Data Scientist - Modélisateur, à ce titre et en collaboration avec votre maître de stage qui assurera votre formation, vous participez aux missions..."
FNAC DARTY,Data Analyst," Développer de nouvelles approches Big Data :. Diplômé d'un Bac+5 en école d'ingénieur et/ou Université avec une spécialisation en statistiques, mathématiques ou..."
Exakis,Senior Consultant en organisation – Data Science (H/F)," Data Science (Analytique, Machine Learning, Big-Data…), APIs, Blockchain, Open-Data et Data-Driven Company. Définir et cadrer les problématiques, surtout sur la..."
iPSOS,APPRENTISSAGE - DATA ANALYST (H/F)," Data cleaning, scripting, quality &amp; consistency check. Sous la responsabilité d’un Data Analyst Senior (H/F) :...."
Generali France,Data scientist IARD H/F," Data scientist IARD H/F. Autonome et rigoureux, vous êtes passionné par les sujets de Data Science et faites preuve de pédagogie...."
Canal Plus,DATA Analyst International H/F," Nous recherchons une personne de formation supérieure Bac+4/5 en statistiques/data science/big data (type ENSAE, ENSAI, Grandes Ecoles d'Ingénieur, M1/M2 en..."
UMANIS,Consultant Big data/ Data science Junior F/H," Consultant Big Data / Data Science Junior H/F. Passionné(e) du Big Data &amp; la Data Science, vous êtes en constante veille technologique...."
Gameloft,Data Science Director," In direct relationship with the SVP Production and SVP Sales &amp; Marketing, you will work on cutting-edge Data Science projects, analyzing our data base of more..."
Deloitte,Stagiaire Data Scientist Audit Analytics (FSI) (H/F)," Vous maîtrisez les environnements et langages de la data science :. Futur(e) diplômé(e) d’une école d'ingénieurs ou d’une université, avec une spécialisation en..."
AXA,Research Data Scientist - Stage (F/H)," Application of the developed library to data science projects at AXA. Data Innovation Lab with highly skilled Data Scientists, R&amp;D team with PhDs in AI, a PhD..."
Valuement,IT Data Analyst – Specialist," To the group's projects (Big data, Data infrastructure, Business Services, etc.); Expertise in data analysis, master in SQL type databases or data audit..."
MFG Labs,Data Analyst, Proficient in at least one scripting language for data science (Python/R). Work with the help of project management and data scientists to build data...
